0	1	194
0	2	205
0	3	0
0	4	0
0	5	0
0	6	0
0	7	0
0	8	0
0	9	0
0	10	1
0	11	0
0	12	0
0	13	68
0	14	98
0	15	0
0	16	0
0	17	0
0	18	0
0	19	0
0	20	1
0	21	68
0	22	100
1	2	204
1	3	187
1	4	1
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	0
1	11	0
1	12	77
1	13	112
1	14	92
1	15	0
1	16	0
1	17	0
1	18	0
1	19	0
1	20	86
1	21	91
1	22	66
2	3	212
2	4	203
2	5	1
2	6	0
2	7	0
2	8	0
2	9	0
2	10	0
2	11	60
2	12	92
2	13	80
2	14	1
2	15	0
2	16	0
2	17	0
2	18	1
2	19	78
2	20	92
2	21	91
2	22	1
3	4	188
3	5	186
3	6	4
3	7	0
3	8	1
3	9	2
3	10	64
3	11	95
3	12	88
3	13	1
3	14	0
3	15	0
3	16	0
3	17	1
3	18	77
3	19	124
3	20	77
3	21	0
3	22	0
4	5	204
4	6	164
4	7	91
4	8	0
4	9	70
4	10	105
4	11	83
4	12	1
4	13	0
4	14	0
4	15	1
4	16	0
4	17	82
4	18	98
4	19	81
4	20	1
4	21	1
4	22	0
5	6	180
5	7	216
5	8	82
5	9	99
5	10	70
5	11	3
5	12	0
5	13	0
5	14	1
5	15	2
5	16	67
5	17	100
5	18	64
5	19	0
5	20	0
5	21	0
5	22	0
6	7	206
6	8	204
6	9	73
6	10	2
6	11	0
6	12	0
6	13	0
6	14	0
6	15	74
6	16	101
6	17	77
6	18	1
6	19	0
6	20	0
6	21	0
6	22	0
7	8	194
7	9	223
7	10	88
7	11	0
7	12	1
7	13	0
7	14	78
7	15	103
7	16	63
7	17	1
7	18	0
7	19	0
7	20	0
7	21	0
7	22	1
8	9	191
8	10	218
8	11	77
8	12	2
8	13	90
8	14	94
8	15	79
8	16	1
8	17	0
8	18	0
8	19	0
8	20	0
8	21	86
8	22	84
9	10	212
9	11	202
9	12	58
9	13	99
9	14	77
9	15	1
9	16	0
9	17	0
9	18	0
9	19	3
9	20	67
9	21	90
9	22	83
10	11	210
10	12	199
10	13	70
10	14	1
10	15	0
10	16	0
10	17	0
10	18	2
10	19	63
10	20	97
10	21	75
10	22	1
11	12	166
11	13	202
11	14	88
11	15	0
11	16	0
11	17	1
11	18	79
11	19	100
11	20	81
11	21	2
11	22	2
12	13	173
12	14	202
12	15	73
12	16	0
12	17	86
12	18	84
12	19	80
12	20	2
12	21	0
12	22	0
13	14	196
13	15	209
13	16	94
13	17	95
13	18	84
13	19	2
13	20	0
13	21	0
13	22	0
14	15	177
14	16	198
14	17	76
14	18	0
14	19	0
14	20	0
14	21	0
14	22	0
15	16	177
15	17	168
15	18	76
15	19	0
15	20	0
15	21	0
15	22	0
16	17	204
16	18	171
16	19	0
16	20	0
16	21	0
16	22	0
17	18	194
17	19	190
17	20	2
17	21	1
17	22	0
18	19	170
18	20	175
18	21	3
18	22	0
19	20	218
19	21	233
19	22	1
20	21	220
20	22	197
21	22	201
