	5C_305_ENm008_REV_1|hg18|chr16:1-5693	5C_305_ENm008_REV_6|hg18|chr16:11138-15091	5C_305_ENm008_REV_10|hg18|chr16:29779-44231	5C_305_ENm008_REV_11|hg18|chr16:44231-50868	5C_305_ENm008_REV_12|hg18|chr16:50868-52846	5C_305_ENm008_REV_13|hg18|chr16:52846-55911	5C_305_ENm008_REV_15|hg18|chr16:56690-64056	5C_305_ENm008_REV_17|hg18|chr16:65723-74448	5C_305_ENm008_REV_21|hg18|chr16:87749-90248	5C_305_ENm008_REV_26|hg18|chr16:104687-109838	5C_305_ENm008_REV_28|hg18|chr16:120933-131220	5C_305_ENm008_REV_31+32|hg18|chr16:147782-167103	5C_305_ENm008_REV_33|hg18|chr16:167103-171769	5C_305_ENm008_REV_34|hg18|chr16:171769-185994	5C_305_ENm008_REV_37|hg18|chr16:192185-203353	5C_305_ENm008_REV_38|hg18|chr16:203353-217802	5C_305_ENm008_REV_39|hg18|chr16:217802-225341	5C_305_ENm008_REV_43|hg18|chr16:239095-247214	5C_305_ENm008_REV_45|hg18|chr16:260279-277942	5C_305_ENm008_REV_59|hg18|chr16:353009-360924	5C_305_ENm008_REV_60|hg18|chr16:360924-372670	5C_305_ENm008_REV_62|hg18|chr16:376971-380160	5C_305_ENm008_REV_65|hg18|chr16:402437-418222	5C_305_ENm008_REV_72|hg18|chr16:454365-483412	5C_305_ENm008_REV_74|hg18|chr16:483472-496513
5C_305_ENm008_FOR_7|hg18|chr16:15091-18344	222	5823	40	834	193	274	391	404	430	400	253	95	118	572	371	168	25	218	30	48	17	117	20	89	36
5C_305_ENm008_FOR_8|hg18|chr16:18344-29756	384	2999	46	1564	225	522	543	730	570	734	579	140	125	780	568	252	67	396	69	81	37	199	27	47	35
5C_305_ENm008_FOR_14|hg18|chr16:55911-56690	24	179	8	543	84	116	410	175	170	270	160	25	25	243	163	74	0	63	14	18	13	39	0	8	9
5C_305_ENm008_FOR_16|hg18|chr16:64056-65723	15	478	0	809	101	239	2148	181	147	69	281	18	29	417	372	189	13	172	16	46	14	110	1	36	0
5C_305_ENm008_FOR_19|hg18|chr16:86128-86217	76	436	15	621	105	230	469	469	724	559	436	137	42	525	446	190	31	192	10	46	24	127	1	40	18
5C_305_ENm008_FOR_20|hg18|chr16:86217-87749	24	469	18	663	70	115	293	383	1247	607	436	40	70	480	355	208	15	165	0	37	32	103	1	38	4
5C_305_ENm008_FOR_22|hg18|chr16:90248-91497	76	395	29	717	167	309	352	424	4654	832	493	161	78	731	551	196	37	298	27	41	38	99	16	68	53
5C_305_ENm008_FOR_23|hg18|chr16:91497-95256	96	575	19	801	96	287	449	412	1627	1119	714	152	206	783	441	265	52	275	50	66	25	188	9	26	58
5C_305_ENm008_FOR_24|hg18|chr16:95256-100530	141	709	42	1038	118	197	552	369	1022	2916	1351	404	370	1744	1249	612	70	683	89	114	102	277	35	45	68
5C_305_ENm008_FOR_25|hg18|chr16:100530-104687	58	437	46	716	85	212	357	393	558	2963	850	357	244	896	836	406	63	348	55	83	49	202	15	49	85
5C_305_ENm008_FOR_29|hg18|chr16:131220-134334	94	411	22	550	105	154	310	337	430	1112	4223	536	200	1156	901	469	92	454	78	59	39	215	26	136	62
5C_305_ENm008_FOR_35|hg18|chr16:185994-189074	77	261	13	496	35	127	188	322	319	629	527	439	204	4581	1968	788	110	673	136	52	55	138	7	48	46
5C_305_ENm008_FOR_42|hg18|chr16:237363-239095	75	189	11	357	61	153	193	199	297	354	436	159	106	938	1242	727	217	3294	173	64	94	239	8	77	114
